date,industry,early_radar_score,alert_tier,accumulation_pressure,cross_stock_synchronization,prob_5d,ind_fwd_5d,major_industry_move_5d
2025-05-19,Specialty Retail Boutiques,72.8,EARLY (Elevated Probability),70.4,66.7,0.12321296543337205,-1.6016702433058092,0
2025-06-09,Specialty Retail Boutiques,74.0,EARLY (Elevated Probability),80.2,50.0,0.10119212257848229,-0.6638971734538978,0
2025-06-10,Specialty Retail Boutiques,70.9,EARLY (Elevated Probability),67.1,63.3,0.09901049827771567,-0.45375441468254557,0
2025-06-11,Specialty Retail Boutiques,66.6,EARLY (Elevated Probability),59.3,56.7,0.10737954039483849,1.2253068023955211,1
2025-06-12,Specialty Retail Boutiques,58.6,WATCH (Unusual Precursor),53.7,50.0,0.06774524969502327,0.97224734372306,1
2025-06-13,Specialty Retail Boutiques,68.7,EARLY (Elevated Probability),68.1,50.0,0.07009329483928713,1.839494198120967,1
2025-06-16,Specialty Retail Boutiques,76.1,PRE-BREAKOUT (High Conviction),84.0,46.7,0.07913933904325482,-0.20877329201510667,0
2025-06-17,Specialty Retail Boutiques,67.3,EARLY (Elevated Probability),71.7,50.0,0.07613939420845171,-1.303481115807293,0
2025-06-18,Specialty Retail Boutiques,72.6,EARLY (Elevated Probability),76.0,64.3,0.10568626798788411,-1.843064037795761,0
2025-06-20,Specialty Retail Boutiques,62.0,WATCH (Unusual Precursor),63.6,46.7,0.11345643804430844,0.7433258442606385,0
2025-07-01,Specialty Retail Boutiques,61.6,WATCH (Unusual Precursor),69.3,60.0,0.10730362477537697,0.7732471019341266,0
2025-07-03,Specialty Retail Boutiques,55.5,WATCH (Unusual Precursor),51.4,62.5,0.11204715571105221,0.7884797892413302,0
2025-07-07,Specialty Retail Boutiques,58.2,WATCH (Unusual Precursor),53.3,59.4,0.10108267215265707,-2.3062515960801613,0
2025-08-13,Specialty Retail Boutiques,57.1,WATCH (Unusual Precursor),58.0,40.6,0.0983120839593757,4.447912753786864,0
2025-08-18,Specialty Retail Boutiques,68.3,EARLY (Elevated Probability),67.9,46.9,0.0986684534119264,-6.7437934022701445,0
